# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chr2	29135455	29137074	+	hsa_circ_0053343	1619	261	K562, Hepg2, Helas3, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015131	WDR43	Salzman2013
chr17	73788393	73788559	+	hsa_circ_0045713	166	166	Helas3	NA	ANNOTATED, INTERNAL, ncRNA, OVEXON	NR_038131	UNK	Salzman2013
chr4	119718837	119736881	-	hsa_circ_0070753	18044	644	Helas3, Bj, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014822	SEC24D	Salzman2013
chr3	48602541	48624541	-	hsa_circ_0065402	22000	5481	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000094	COL7A1	Salzman2013
chr1	63042932	63091072	-	hsa_circ_0012814	48140	830	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_033407	DOCK7	Salzman2013
chr11	47199072	47200830	-	hsa_circ_0021944	1758	905	Hepg2, Helas3, Bj, Nhek, Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001184975	PACSIN3	Salzman2013
chr2	36668400	36749456	+	hsa_circ_0053967	81056	1923	Hepg2, Helas3, Bj, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_016441	CRIM1	Salzman2013
chr17	79476996	79479168	-	hsa_circ_0046141	2172	1724	Nhek, K562, Huvec, Hsmm, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001199954	ACTG1	Salzman2013
chr11	68115314	68115711	+	hsa_circ_0023179	397	397	K562, Hepg2, Helas3, H1hesc, Gm12878, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002335	LRP5	Salzman2013
chr16	67980073	67988676	-	hsa_circ_0039893	8603	2063	Helas3, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_005072	SLC12A4	Salzman2013
chr1	153905958	153914589	-	hsa_circ_0014328	8631	2520	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014856	DENND4B	Salzman2013
chr16	58566135	58594266	-	hsa_circ_0039634	28131	4080	Hepg2, Helas3, H1hesc, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_016284	CNOT1	Salzman2013
chrX	18917290	18926174	-	hsa_circ_0089989	8884	751	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000292	PHKA2	Salzman2013
chr1	176050287	176105683	-	hsa_circ_0003572	55396	446	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_022457	RFWD2	Jeck2013, Salzman2013
chrX	137785145	137785249	-	hsa_circ_0091642	104	104	Helas3, H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004114	FGF13	Salzman2013
chr9	131770312	131790579	-	hsa_circ_0089009	20267	1984	Helas3, Nhek, Mcf7	Simple_repeat	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_020145	SH3GLB2	Salzman2013
chr10	20432223	20453496	+	hsa_circ_0017924	21273	342	Helas3, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032812	PLXDC2	Salzman2013
chr1	154226375	154232505	+	hsa_circ_0014395	6130	914	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014847	UBAP2L	Salzman2013
chr19	54677105	54682658	-	hsa_circ_0052143	5553	1197	Helas3, Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_024298	MBOAT7	Salzman2013
chr4	56277780	56278006	+	hsa_circ_0069775	226	226	K562, Huvec, Hepg2, Helas3, Bj, Ag04450, A549, Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018475	TMEM165	Salzman2013
chr17_ctg5_hap1	693693	705913	+	hsa_circ_0046625	12220	244	Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001193466	KIAA1267	Salzman2013
chr13	77718579	77836264	-	hsa_circ_0030495	117685	5733	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015057	MYCBP2	Salzman2013
chr7	6785718	6786836	+	hsa_circ_0079401	1118	271	Helas3, Bj	NA	ANNOTATED, INTERNAL, ncRNA, OVEXON	NR_002217	PMS2CL	Salzman2013
chr8	53596446	53598080	-	hsa_circ_0084503	1634	249	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_014781	RB1CC1	Salzman2013
chr5	170818308	170819820	+	hsa_circ_0075004	1512	321	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002520	NPM1	Salzman2013
chr20	35832287	35838568	+	hsa_circ_0060262	6281	507	Nhek, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhlf, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002951	RPN2	Salzman2013
chr15	25476312	25479764	+	hsa_circ_0034155	3452	3452	Helas3	NA	ALT_ACCEPTOR, ALT_DONOR, downstream_end, ncRNA, OVEXON, upstream_start	NR_003350	SNORD115-35	Salzman2013
chr17	48538602	48538731	+	hsa_circ_0044583	129	129	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_025149	ACSF2	Salzman2013
chr1	120510699	120510855	-	hsa_circ_0013793	156	156	Helas3, Bj, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024408	NOTCH2	Salzman2013
chr1	51868106	51930998	-	hsa_circ_0012436	62892	1573	Nhek, K562, Huvec, Hepg2, Helas3, Gm12878, A549, Nhlf, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001981	EPS15	Salzman2013
chr5	138614015	138615747	+	hsa_circ_0008595	1732	1090	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, H1hesc, Gm12878, Ag04450, A549, Nhek, Sknshra, Mcf7	DNA	ALT_DONOR, downstream_end, ncRNA, OVEXON	NR_003141	SNHG4	Jeck2013, Salzman2013
chr11	62620282	62622410	-	hsa_circ_0022554	2128	273	Helas3	NA	ANNOTATED, INTERNAL, ncRNA, OVEXON	NR_003098	SNHG1	Salzman2013
chr12	57535156	57539273	+	hsa_circ_0027131	4117	651	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002332	LRP1	Salzman2013
chr2	39064972	39081320	-	hsa_circ_0054166	16348	637	K562, Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_198963	DHX57	Salzman2013
chr1	179306971	179312078	+	hsa_circ_0007700	5107	716	Hs68_RNase, Hs68_control, Helas3, Gm12878	None	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVEXON	NR_045530	SOAT1	Jeck2013, Salzman2013
chr9	114904599	114919893	-	hsa_circ_0088058	15294	603	K562, Helas3, Bj, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_022486	SUSD1	Salzman2013
chr14	102471378	102507010	+	hsa_circ_0033286	35632	6703	Nhek, K562, Hsmm, Hmec, Hepg2, Helas3, Gm12878, Bj, Ag04450, A549, Nhlf, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001376	DYNC1H1	Salzman2013
chr18	33724901	33726344	+	hsa_circ_0047430	1443	329	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001242875	ELP2	Salzman2013
chr10	104238985	104240722	-	hsa_circ_0019738	1737	1737	Nhek, Huvec, Hepg2, Helas3, H1hesc, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_005736	ACTR1A	Salzman2013
chr16	71484496	71487253	-	hsa_circ_0040332	2757	2757	Helas3	SINE	ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	NM_145911	ZNF23	Salzman2013
chr20	34700347	34778719	+	hsa_circ_0060166	78372	1178	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_177996	EPB41L1	Salzman2013
chrX	48317921	48320183	-	hsa_circ_0090469	2262	546	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_033518	SLC38A5	Salzman2013
chr11	118630630	118661972	-	hsa_circ_0024497	31342	1297	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_004397	DDX6	Salzman2013
chr10	1123846	1142186	+	hsa_circ_0017443	18340	588	Helas3, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014023	WDR37	Salzman2013
chr17	26901969	26902562	-	hsa_circ_0042560	593	391	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_005165	ALDOC	Salzman2013
chr3	52011886	52021469	+	hsa_circ_0065965	9583	1198	Helas3	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVERLAPTX, OVEXON	NR_037192	ABHD14A-ACY1	Salzman2013
chr17	1703150	1704318	-	hsa_circ_0004018	1168	1168	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_052928	SMYD4	Jeck2013, Salzman2013
chr2	240929490	240961757	-	hsa_circ_0058919	32267	924	K562, Hepg2, Helas3, Gm12878, Bj, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004544	NDUFA10	Salzman2013
chr8	146015153	146016880	-	hsa_circ_0086157	1727	529	Nhek, K562, Huvec, Hsmm, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_033301	RPL8	Salzman2013
chr17	43513265	43553092	-	hsa_circ_0044175	39827	39827	Helas3, H1hesc, Gm12878	NA	INTERGENIC	None	None	Salzman2013
chr17	7473673	7482324	+	hsa_circ_0041908	8651	2679	K562, Huvec, Helas3	NA	ANNOTATED, ncRNA, OVCODE, OVEXON	NR_037926	SENP3-EIF4A1	Salzman2013
chr20	31600608	31607556	+	hsa_circ_0059825	6948	877	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_025227	BPIFB2	Salzman2013
chr1	179100445	179102509	-	hsa_circ_0004996	2064	234	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hsmm, Hmec, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra, Mcf7	LINE	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_007314	ABL2	Jeck2013, Salzman2013
chr14	105957958	105958037	+	hsa_circ_0033632	79	79	Helas3, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001134875	C14orf80	Salzman2013
chr2	15601324	15618413	-	hsa_circ_0008083	17089	1256	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015909	NBAS	Jeck2013, Salzman2013
chr2	15496426	15506817	-	hsa_circ_0052737	10391	228	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015909	NBAS	Salzman2013
chr1	120539619	120539955	-	hsa_circ_0013796	336	336	Huvec, Hepg2, Helas3, H1hesc, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024408	NOTCH2	Salzman2013
chr7	97857325	97874005	-	hsa_circ_0081210	16680	2105	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015395	TECPR1	Salzman2013
chr19	48835145	48837066	-	hsa_circ_0051743	1921	1921	K562, Huvec, Helas3, H1hesc, Gm12878	SINE	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, downstream_end, intronic, OVCODE, OVEXON, UTR3	NM_018273	TMEM143	Salzman2013
chr8	117668094	117671219	-	hsa_circ_0005231	3125	418	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, Gm12878, A549	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003756	EIF3H	Jeck2013, Salzman2013
chr16	69279504	69318147	+	hsa_circ_0040039	38643	765	K562, Huvec, Hepg2, Helas3, Gm12878, Bj, Ag04450, A549, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006750	SNTB2	Salzman2013
chr19	6709694	6713326	-	hsa_circ_0048897	3632	969	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000064	C3	Salzman2013
chr16	56903640	56913139	+	hsa_circ_0039499	9499	830	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000339	SLC12A3	Salzman2013
chr6	105280916	105297121	-	hsa_circ_0077520	16205	313	K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_020771	HACE1	Salzman2013
chr1	27269361	27272887	+	hsa_circ_0011040	3526	665	Nhek, K562, Hmec, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_006600	NUDC	Salzman2013
chr3	41949336	41957544	-	hsa_circ_0064965	8208	455	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017886	ULK4	Salzman2013
chr3	130400334	130422732	-	hsa_circ_0067332	22398	776	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014602	PIK3R4	Salzman2013
chr15	41361767	41362745	-	hsa_circ_0007489	978	177	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hmec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017553	INO80	Jeck2013, Salzman2013
chr13	41890981	41946966	+	hsa_circ_0030068	55985	2101	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_024561	NAA16	Salzman2013
chr11	62639048	62639141	+	hsa_circ_0022576	93	93	K562, Hepg2, Helas3, H1hesc, Ag04450, A549, Nhek, Mcf7	SINE	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001012662	SLC3A2	Salzman2013
chr2	196571339	196583056	+	hsa_circ_0057557	11717	930	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001127257	SLC39A10	Salzman2013
chr9	19115758	19121163	-	hsa_circ_0086452	5405	1492	Helas3	NA	ANNOTATED, ncRNA, OVCODE, OVEXON	NR_038064	PLIN2	Salzman2013
chr1	41578954	41608784	-	hsa_circ_0000063	29830	568	HEK293, cd_19, Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001172219	SCMH1	Jeck2013, Memczak2013, Salzman2013
chr19	44242273	44254899	-	hsa_circ_0051366	12626	915	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_019108	SMG9	Salzman2013
chr1	12016973	12018704	+	hsa_circ_0009894	1731	332	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000302	PLOD1	Salzman2013
chr22	41660667	41677086	-	hsa_circ_0003723	16419	518	Hs68_RNase, Hs68_control, Nhek, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_002883	RANGAP1	Jeck2013, Salzman2013
chr10	103750307	103789502	-	hsa_circ_0019642	39195	1100	Nhek, Helas3, Gm12878, Bj, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024541	C10orf76	Salzman2013
chr9	138707735	138774924	-	hsa_circ_0089475	67189	4227	K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015447	CAMSAP1	Salzman2013
chrX	138884394	138886758	-	hsa_circ_0091660	2364	233	Helas3, A549, Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_173694	ATP11C	Salzman2013
chr11	3752620	3800487	-	hsa_circ_0020901	47867	1705	Helas3, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_005387	NUP98	Salzman2013
chr7	131155600	131163436	+	hsa_circ_0082421	7836	158	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001145354	MKLN1	Salzman2013
chr20	7964440	7982188	-	hsa_circ_0059416	17748	387	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_021156	TMX4	Salzman2013
chr16	71692135	71698002	-	hsa_circ_0006858	5867	495	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015020	PHLPP2	Jeck2013, Salzman2013
chr4	74280751	74285356	+	hsa_circ_0069970	4605	727	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000477	ALB	Salzman2013
chr17	60613530	60642498	+	hsa_circ_0045128	28968	605	Nhek, K562, Huvec, Helas3, H1hesc, Gm12878, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006852	TLK2	Salzman2013
chr12	49424957	49439750	-	hsa_circ_0026097	14793	8837	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_003482	MLL2	Salzman2013
chr4	109780811	109790306	-	hsa_circ_0070626	9495	300	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_032518	COL25A1	Salzman2013
chr6	11190196	11191438	-	hsa_circ_0075634	1242	1242	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001142393	NEDD9	Salzman2013
chr13	113158345	113181798	-	hsa_circ_0007031	23453	972	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, H1hesc, Gm12878, Ag04450, A549	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006322	TUBGCP3	Jeck2013, Salzman2013
chr18	12999419	13049890	+	hsa_circ_0047001	50471	3021	K562, Helas3, Gm12878, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_032142	CEP192	Salzman2013
chr5	140960310	140963182	-	hsa_circ_0074323	2872	422	K562, Hepg2, Helas3, Gm12878, Bj, Ag04450, Nhek, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005219	DIAPH1	Salzman2013
chr16	74942805	74957901	-	hsa_circ_0040510	15096	1061	Helas3, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_030581	WDR59	Salzman2013
chr10	93902785	93904869	-	hsa_circ_0002435	2084	258	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, Gm12878, Bj, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001178137	CPEB3	Jeck2013, Salzman2013
chr8	17721899	17743080	-	hsa_circ_0083446	21181	1157	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_201553	FGL1	Salzman2013
chr5	14716814	14751348	-	hsa_circ_0071970	34534	625	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_054027	ANKH	Salzman2013
chr1	244715623	244724447	+	hsa_circ_0006080	8824	971	Hs68_RNase, Hs68_control, Hepg2, Helas3, H1hesc, Bj, A549, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001130957	C1orf101	Jeck2013, Salzman2013
chr17	80726295	80730383	+	hsa_circ_0046485	4088	203	K562, Helas3, H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005993	TBCD	Salzman2013
chr9	139756910	139757451	-	hsa_circ_0089595	541	541	K562, Helas3	NA	ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVEXON, UTR3	NM_153200	EDF1	Salzman2013
chr17	73759400	73759520	-	hsa_circ_0045712	120	120	Nhek, K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000154	GALK1	Salzman2013
chr5	172359438	172362313	+	hsa_circ_0004004	2875	224	Hs68_RNase, Hs68_control, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001031711	ERGIC1	Jeck2013, Salzman2013
chr5	52899281	52899360	+	hsa_circ_0072459	79	79	K562, Helas3, A549, Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002495	NDUFS4	Salzman2013
chr22	46782298	46787184	-	hsa_circ_0063813	4886	591	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014246	CELSR1	Salzman2013
chr8	141678367	141716304	-	hsa_circ_0085730	37937	762	Hepg2, Helas3, H1hesc, Bj, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001199649	PTK2	Salzman2013
chr3	4418013	4494733	-	hsa_circ_0064032	76720	744	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_182760	SUMF1	Salzman2013
chr10	19896705	19896829	+	hsa_circ_0017919	124	124	Hepg2, Helas3	NA	INTERGENIC	None	None	Salzman2013
chr4	74000833	74043250	-	hsa_circ_0069957	42417	2841	Helas3, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_032217	ANKRD17	Salzman2013
chr3	52838741	52840422	+	hsa_circ_0066133	1681	192	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002217	ITIH3	Salzman2013
chr17	30500849	30502381	+	hsa_circ_0043001	1532	126	Nhek, K562, Huvec, Hepg2, Helas3, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001033568	RHOT1	Salzman2013
chr19	3008866	3008943	-	hsa_circ_0048440	77	77	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003260	TLE2	Salzman2013
chr2	215617170	215657169	-	hsa_circ_0058048	39999	1462	Nhek, K562, Huvec, Hsmm, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000465	BARD1	Salzman2013
chr2	220073147	220073208	+	hsa_circ_0058343	61	61	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_138802	ZFAND2B	Salzman2013
chr1	52238276	52238395	+	hsa_circ_0012466	119	119	Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_148909	OSBPL9	Salzman2013
chr19	5016267	5033042	+	hsa_circ_0048682	16775	249	K562, Hepg2, Helas3, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_015015	KDM4B	Salzman2013
chr16	88709696	88714522	-	hsa_circ_0040834	4826	594	Hepg2, Helas3, Bj	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_000101	CYBA	Salzman2013
chr7	64525376	64527428	+	hsa_circ_0080301	2052	415	K562, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, INTERNAL, ncRNA, OVERLAPTX, OVEXON	NR_033416	CCT6P3	Salzman2013
chr14	23345897	23346262	+	hsa_circ_0031230	365	244	Helas3, Bj, A549	NA	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014045	LRP10	Salzman2013
chr16	58575404	58594266	-	hsa_circ_0039647	18862	2821	K562, Hepg2, Helas3, H1hesc, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_016284	CNOT1	Salzman2013
chr12	100985513	101011585	+	hsa_circ_0027870	26072	660	Helas3	SINE	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_174942	GAS2L3	Salzman2013
chr22	45939280	45943084	+	hsa_circ_0063756	3804	246	Helas3, H1hesc, Bj, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006486	FBLN1	Salzman2013
chr5	69211907	70081452	+	hsa_circ_0072813	869545	838926	K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ALT_ACCEPTOR, ALT_DONOR, downstream_end, ncRNA, OVERLAPTX, OVEXON, upstream_start	NR_033417	GTF2H2B	Salzman2013
chr17	73229152	73230883	+	hsa_circ_0045623	1731	253	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_024844	NUP85	Salzman2013
chr1	220355598	220356273	-	hsa_circ_0016508	675	312	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_012414	RAB3GAP2	Salzman2013
chr19	6684398	6713326	-	hsa_circ_0048875	28928	3296	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000064	C3	Salzman2013
chr17	66424969	66430767	-	hsa_circ_0045498	5798	452	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_017983	WIPI1	Salzman2013
